obstruction_ring_edge_id,site_model_obstruction_id,angle_between_bearing_vector_and_right_vector,angle_between_bearing_vector_and_up_vector,bearing_vector,edge_condition,end_point_x,end_point_y,end_point_z,siding_material,start_point_x,start_point_y,start_point_z,obstruction_ring_winding_direction
0,1,0.0,0.0,,,-323.99707236856574,-190.92909755736756,163.26876067438448,None,-323.2931729627563,-190.58197278500649,163.26876067438448,
0,5,0.0,0.0,,,-333.2785360870484,-122.03347099306208,161.82464865809075,None,-333.51589929623697,-122.70527430163848,161.82464865809075,
0,0,0.0,0.0,,,-508.05658358586,102.31718116292038,131.4611683064145,None,-507.85128306231104,102.85851415398844,131.4611683064145,
0,4,0.0,0.0,,,-283.01533195764915,-128.66124236668767,147.6138201810369,None,-282.8081965495318,-128.04648638263996,147.6138201810369,
0,5,0.0,0.0,,,-331.94858648024734,-127.1412015835261,161.82464865809075,None,-331.34186914404177,-127.51477226283345,161.82464865809075,
0,5,0.0,0.0,,,-332.9310518212966,-126.11611559418472,161.82464865809075,None,-332.4834429886442,-126.67046865083915,161.82464865809075,
0,5,0.0,0.0,,,-333.6363129415001,-123.40752890826272,161.82464865809075,None,-333.6363129415001,-124.120032226494,161.82464865809075,
0,4,0.0,0.0,,,-287.9160446924314,-129.46467343856716,147.6138201810369,None,-287.4216194127492,-129.88464205647756,147.6138201810369,
0,6,0.0,0.0,,,-96.57534372294516,-232.5987080220156,148.68109508953842,None,-96.3517982889036,-231.82276465150417,148.68109508953842,
0,2,0.0,0.0,,,-330.4391267447382,101.09546116130404,164.15036611355706,None,-329.92164739011,100.50538904823706,164.15036611355706,
0,5,0.0,0.0,,,-333.51589929623697,-122.70527430163848,161.82464865809075,None,-333.6363129415001,-123.40752890826272,161.82464865809075,
0,1,0.0,0.0,,,-321.53305292100885,-189.0383889363521,163.26876067438448,None,-321.09702054004964,-188.38582036229985,163.26876067438448,
0,6,0.0,0.0,,,-96.88436164318324,-233.34474327607077,148.68109508953842,None,-96.57534372294516,-232.5987080220156,148.68109508953842,
0,1,0.0,0.0,,,-327.8460872333714,-191.18137532003425,163.26876067438448,None,-327.0763301160766,-191.3344895305427,163.26876067438448,
0,2,0.0,0.0,,,-320.48285428028413,107.74802973535635,164.15036611355706,None,-320.91888666124333,108.40059830940868,164.15036611355706,
0,5,0.0,0.0,,,-331.34186914404177,-120.01278887192328,161.82464865809075,None,-331.94858648024734,-120.38635955123064,161.82464865809075,
0,1,0.0,0.0,,,-329.2931729627563,-180.1896679395932,163.26876067438448,None,-329.9457415368086,-180.62570032055245,163.26876067438448,
0,5,0.0,0.0,,,-325.4898312305479,-125.16323002009402,161.82464865809075,None,-325.3102960256895,-124.4737170842422,161.82464865809075,
0,4,0.0,0.0,,,-283.7958993623165,-125.11508889662396,147.6138201810369,None,-284.3328328945626,-124.75103892866882,147.6138201810369,
0,5,0.0,0.0,,,-325.78331223670534,-125.8124833431624,161.82464865809075,None,-325.4898312305479,-125.16323002009402,161.82464865809075,
0,6,0.0,0.0,,,-102.5658145274375,-237.3759490754752,148.68109508953842,None,-101.76972097856682,-237.2406873411674,148.68109508953842,
0,2,0.0,0.0,,,-326.46216385631107,98.7993605671135,164.15036611355706,None,-325.67900670299076,98.74802973535635,164.15036611355706,
0,2,0.0,0.0,,,-331.2222838980585,102.45192914116582,164.15036611355706,None,-330.8751591256974,101.74802973535635,164.15036611355706,
0,2,0.0,0.0,,,-324.12609243237563,110.54358469309076,164.15036611355706,None,-324.89584954967046,110.6966989035992,164.15036611355706,
0,4,0.0,0.0,,,-284.93547320107433,-124.5109250844492,147.6138201810369,None,-285.57564149090575,-124.40597482045352,147.6138201810369,
0,6,0.0,0.0,,,-96.17125951481133,-230.2204387136849,148.68109508953842,None,-96.2165365545958,-229.41420632473628,148.68109508953842,
0,4,0.0,0.0,,,-283.7958993623165,-129.6880612273898,147.6138201810369,None,-283.34977901954505,-129.21709770758818,147.6138201810369,
0,5,0.0,0.0,,,-330.68074513314264,-119.7471273942808,161.82464865809075,None,-331.34186914404177,-120.01278887192328,161.82464865809075,
0,5,0.0,0.0,,,-325.4898312305479,-122.3643311146627,161.82464865809075,None,-325.78331223670534,-121.71507779159433,161.82464865809075,
0,6,0.0,0.0,,,-97.74224462727577,-234.7100562239196,148.68109508953842,None,-97.27496596997456,-234.0514885874902,148.68109508953842,
0,4,0.0,0.0,,,-285.57564149090575,-130.39717530356026,147.6138201810369,None,-284.93547320107433,-130.29222503956456,147.6138201810369,
0,2,0.0,0.0,,,-329.3315752770431,99.98790969360894,164.15036611355706,None,-328.67900670299076,99.55187731264972,164.15036611355706,
