polygon_exterior_ring_edge_id,mounting_plane_id,angle_between_bearing_vector_and_right_vector,angle_between_bearing_vector_and_up_vector,bearing_vector,edge_condition,end_point_x,end_point_y,end_point_z,siding_material,start_point_x,start_point_y,start_point_z,polygon_exterior_ring_winding_direction
48,10,0.0,0.0,,sharedconvex,205.12795932,132.639768024,196.960636224,,153.761815944,65.655513912,226.779534816,
84,17,0.0,0.0,,sharedconvexpeak,-154.75394196,-34.895670408,240.574810848,,-48.372048792,-20.63976444,240.574810848,
55,11,0.0,0.0,,wallup,310.320876072,-38.950788648,130.440949056,,296.698828392,62.710631928,130.440949056,
32,6,0.0,0.0,,sharedconvex,279.659457768,119.30118492,185.437013808,,314.722451016,65.124017832,156.342524688,
45,10,0.0,0.0,,,-14.57677212,186.163391784,156.342524688,,288.683080104,225.899613528,156.342524688,
18,4,0.0,0.0,,sharedconvexpeak,144.273626664,64.423230408,226.779534816,,153.761815944,65.655513912,226.779534816,
29,6,0.0,0.0,,sharedconvexpeak,205.12795932,132.639768024,196.960636224,,253.679141976,139.14370524,196.960636224,
2,0,0.0,0.0,,sharedconvex,-204.466541976,-112.151578392,270.25591416,,-291.332686488,-225.899613528,219.795282624,
8,2,0.0,0.0,,sharedconvexpeak,-204.466541976,-112.151578392,270.25591416,,-226.529534808,52.501970184,270.25591416,
24,5,0.0,0.0,,sharedconvex,153.761815944,65.655513912,226.779534816,,205.12795932,132.639768024,196.960636224,
12,2,0.0,0.0,,,-118.98622428,11.93897676,219.795282624,,-154.75394196,-34.895670408,240.574810848,
16,3,0.0,0.0,,,130.045279752,-80.064963192,156.342524688,,141.509847048,-165.651580104,156.342524688,
20,4,0.0,0.0,,sharedconvexpeak,-11.312992488,27.887796168,219.047251104,,130.966539624,46.950788904,219.047251104,
72,15,0.0,0.0,,sharedconvex,144.273626664,64.423230408,226.779534816,,130.966539624,46.950788904,219.047251104,
4,1,0.0,0.0,,,-90.71850684,-199.021659912,219.795282624,,-291.332686488,-225.899613528,219.795282624,
34,7,0.0,0.0,,sharedconvex,279.659457768,119.30118492,185.437013808,,340.277569944,106.316932536,156.342524688,
78,16,0.0,0.0,,wallup,-14.486220936,185.474415384,118.11024,,-10.391732616,154.903548264,133.488193248,
21,4,0.0,0.0,,sharedconcave,130.045279752,-80.064963192,156.342524688,,-11.312992488,27.887796168,219.047251104,
9,2,0.0,0.0,,sharedconvex,-90.71850684,-199.021659912,219.795282624,,-204.466541976,-112.151578392,270.25591416,
13,2,0.0,0.0,,,-139.663390296,166.25000532,219.795282624,,-118.98622428,11.93897676,219.795282624,
19,4,0.0,0.0,,sharedconvex,130.966539624,46.950788904,219.047251104,,144.273626664,64.423230408,226.779534816,
67,14,0.0,0.0,,sharedconvex,-226.529534808,52.501970184,270.25591416,,-340.277569944,139.368114696,219.795282624,
80,17,0.0,0.0,,,-107.915357784,-70.663388088,219.795282624,,-154.75394196,-34.895670408,240.574810848,
64,13,0.0,0.0,,,174.175202424,-74.151577176,118.11024,,184.151580696,-148.600398456,118.11024,
0,0,0.0,0.0,,sharedconvex,-340.277569944,139.368114696,219.795282624,,-226.529534808,52.501970184,270.25591416,
37,8,0.0,0.0,,sharedconvex,253.679141976,139.14370524,196.960636224,,275.190953688,167.230320312,184.472446848,
22,1,0.0,0.0,,sharedconvexpeak,-767.706665039063,180.188980102539,135.082672119141,,-404.832672119141,175.0,135.082672119141,
42,3,0.0,0.0,,,-16.6003875732422,45.8700790405273,99.7007904052734,,-16.7066955566406,45.8700790405273,99.7007904052734,
55,5,0.0,0.0,,sharedconcave,59.5570831298828,-103.322830200195,106.480316162109,,60.2263793945313,-102.67716217041,106.287399291992,
72,7,0.0,0.0,,,-232.104328155518,-155.059051513672,126.673225402832,,-230.694881439209,76.2716522216797,126.673225402832,
40,3,0.0,0.0,,wallup,-16.5295257568359,74.9724426269531,99.7007904052734,,-159.151573181152,75.8385848999023,99.7007904052734,
38,3,0.0,0.0,,,-157.856296539307,166.468505859375,99.7007904052734,,1.6082763671875,165.5,99.7007904052734,
64,6,0.0,0.0,,,74.31298828125,74.6968536376953,102.649604797363,,73.0098571777344,-91.2598419189453,102.649604797363,
47,4,0.0,0.0,,sharedconvexpeak,-300.572830200195,-200.846450805664,136.303146362305,,58.75,-205.984252929688,136.303146362305,
2,9,0.0,0.0,,sharedconvexpeak,769.588562011719,258.161422729492,135.574798583984,,472.155517578125,257.889755249023,135.574798583984,
20,0,0.0,0.0,,,-765.781494140625,314.818893432617,101.511810302734,,-492.194885253906,310.905502319336,101.511810302734,
37,3,0.0,0.0,,,1.6082763671875,165.5,99.7007904052734,,1.06101989746094,75.2716522216797,99.7007904052734,
5,10,0.0,0.0,,,769.588562011719,258.161422729492,135.574798583984,,769.631896972656,212.248031616211,120.303146362305,
7,10,0.0,0.0,,,472.198791503906,211.976379394531,120.303146362305,,472.155517578125,257.889755249023,135.574798583984,
28,2,0.0,0.0,,wallup,-180.206691741943,-307.169296264648,105.917320251465,,-164.631887435913,-307.393692016602,102.035430908203,
76,8,0.0,0.0,,,-544.324798583984,-309.389755249023,102.035430908203,,-539.269683837891,44.3543319702148,102.035430908203,
26,1,0.0,0.0,,sharedconcave,-404.832672119141,175.0,135.082672119141,,-539.269683837891,44.3543319702148,102.035430908203,
29,2,0.0,0.0,,sharedconcave,-300.572830200195,-200.846450805664,136.303146362305,,-180.206691741943,-307.169296264648,105.917320251465,
